UID,iso3,Admin2,Province_State,Lat,Long_,Population
48415,MEX,NUL,Mexico,19.4969,-99.7233,17427790
48416,MEX,NUL,Michoacan,19.5665,-101.7068,4825401
48417,MEX,NUL,Morelos,18.6813,-99.1013,2044058
48418,MEX,NUL,Nayarit,21.7514,-104.8455,1288571
48419,MEX,NUL,Nuevo Leon,25.5922,-99.9962,5610153
48420,MEX,NUL,Oaxaca,17.0732,-96.7266,4143593
48421,MEX,NUL,Puebla,19.0414,-98.2063,6604451
48422,MEX,NUL,Queretaro,20.5888,-100.3899,2279637
48423,MEX,NUL,Quintana Roo,19.1817,-88.4791,1723259
48424,MEX,NUL,San Luis Potosi,22.1565,-100.9855,2866142
48425,MEX,NUL,Sinaloa,25.1721,-107.4795,3156674
48426,MEX,NUL,Sonora,29.2972,-110.3309,3074745
48427,MEX,NUL,Tabasco,17.8409,-92.6189,2572287
48428,MEX,NUL,Tamaulipas,24.2669,-98.8363,3650602
48429,MEX,NUL,Tlaxcala,19.3139,-98.2404,1380011
48430,MEX,NUL,Veracruz,19.1738,-96.1342,8539862
48431,MEX,NUL,Yucatan,20.7099,-89.0943,2259098
48432,MEX,NUL,Zacatecas,22.7709,-102.5832,1666426
48433,MEX,NUL,Unknown,,,0
583,FSM,NUL,,7.4256,150.5508,113815
498,MDA,NUL,,47.4116,28.3699,4027690
49801,MDA,NUL,Anenii Noi,46.8833,29.2167,81710
49802,MDA,NUL,Balti,47.754,27.9184,127561
49803,MDA,NUL,Basarabeasca,46.3333,28.9667,28978
49804,MDA,NUL,Bender,46.8228,29.462,91197
49805,MDA,NUL,Briceni,48.3600,27.0858,78027
49806,MDA,NUL,Cahul,45.9167,28.1833,119231
49807,MDA,NUL,Calarasi,47.2500,28.3000,75075
49808,MDA,NUL,Camenca,48.0319,28.6978,8871
49809,MDA,NUL,Cantemir,46.2854,28.1979,60001
49810,MDA,NUL,Causeni,46.6333,29.4000,90612
49811,MDA,NUL,Ceadir-Lunga,46.0570,28.8260,16605
49812,MDA,NUL,Chisinau,47.0105,28.8638,712218
49813,MDA,NUL,Cimislia,46.5289,28.7838,60925
49814,MDA,NUL,Comrat,46.2956,28.6549,72254
